公告日期,净利润,净利润_同比增长,净利润_季度环比增长,净资产收益率,利润分配,每股净资产,每股收益,每股经营现金流量,股票代码,股票简称,营业收入,营业收入_同比增长,营业收入_季度环比增长,销售毛利率
2018-02-09T00:00:00,41537723.08,29.53501723,"""-""",86.49,不分配不转增,2.70292755,1.62,1.26100223,872089,共添营销,349046671.84,-11.98789702,"""-""",19.6319551
2018-02-09T00:00:00,-4244463.87,-7.51693883,"""-""",-12.74,不分配不转增,1.03999975,-0.14,0.01545536,835788,高立开元,58218227.11,-14.10592705,"""-""",18.58357653
2018-02-09T00:00:00,155303717.24,0.38998533,"""-""",14.66,不分配不转增,6.82336085,0.94,1.37916339,832154,文灿股份,1557095407.19,27.98281103,"""-""",26.63305652
2018-02-09T00:00:00,21053681.05,1029.85437757,"""-""",24.51,10送6派1,2.00850388,0.44,0.79710031,831859,祁药股份,237410660.0,38.02180976,"""-""",17.42641051
2018-02-09T00:00:00,-15516583.97,-3178.31612828,"""-""",-32.6,不分配不转增,0.67731451,-0.27,-0.2148623,831664,雅达养老,8527727.17,-29.15138482,"""-""",-13.77844796
2018-02-09T00:00:00,7329645.52,36.57055282,"""-""",16.47,10派1,1.60487425,0.24,0.37666378,831480,福生佳信,58117202.17,3.98039409,"""-""",55.11077437
2018-02-01T00:00:00,2858998.66,207.43864207,277.1053,3.78,不分配不转增,0.21185228,0.0079,0.01408209,000613,*ST东海A,27906564.23,28.54905328,44.4911,60.08136473
2018-02-01T00:00:00,2530000000.0,20.47619048,-0.6618,"""-""",,2.70561798,"""-""","""-""",600170,上海建工,142620000000.0,6.70357624,29.5608,10.36320292
2018-01-31T00:00:00,5004648.19,502.03808435,"""-""",31.43,10转1.5送1.9,1.41067622,0.38,0.18685899,839233,艺创科技,36947911.92,91.29759734,"""-""",32.48773716
2018-01-31T00:00:00,72045266.11,60.44915738,"""-""",24.18,10送20派8.5,7.81907421,1.72,0.82280849,836119,朝歌科技,1794592797.89,93.65972868,"""-""",11.43790237
2018-01-31T00:00:00,74311177.48,83.86487932,"""-""",23.27,不分配不转增,4.08381207,0.87,1.28780103,833958,顶固集创,807567780.79,11.41383093,"""-""",37.92811304
2018-01-31T00:00:00,21755140.55,25.59227619,-18.4019,3.99,10派0.25,2.78309157,0.11,0.65588418,002189,利达光电,912865983.69,10.74302686,-5.9919,16.1748573
2018-03-10T00:00:00,1719330515.23,45.72644276,14.4293,26.71,不分配不转增,2.53220526,0.61,0.0551968,600346,恒力股份,22287966407.02,15.84207186,10.6988,16.26706349
2018-03-10T00:00:00,1113644652.55,71.26222664,13.7448,71.24,不分配不转增,2.60946156,1.7054,1.66487785,600338,西藏珠峰,2466526854.28,67.02340874,15.3328,72.55321768
2018-03-10T00:00:00,256592089.41,-2.39827498,182.2388,9.38,10派0.65,2.58797948,0.22,0.17801881,000739,普洛药业,5551763065.13,16.33577811,27.8625,30.83516906
2018-03-10T00:00:00,659188327.99,21.81966148,32.4832,20.59,10派1.2,6.29107132,1.22,2.14206303,000910,大亚圣象,7048258292.1,7.91383281,18.3011,35.54179729
2018-03-10T00:00:00,58881768.4,117.186157,666.5387,7.64,10派0.6,2.67661329,0.2,0.00354705,600378,天科股份,526857527.83,34.55867793,75.6698,29.26062217
2018-03-10T00:00:00,1719330515.23,45.72644276,14.4293,26.71,不分配不转增,2.53220526,0.61,0.0551968,600346,恒力股份,22287966407.02,15.84207186,10.6988,16.26706349
2018-03-10T00:00:00,1113644652.55,71.26222664,13.7448,71.24,不分配不转增,2.60946156,1.7054,1.66487785,600338,西藏珠峰,2466526854.28,67.02340874,15.3328,72.55321768
2018-03-10T00:00:00,256592089.41,-2.39827498,182.2388,9.38,10派0.65,2.58797948,0.22,0.17801881,000739,普洛药业,5551763065.13,16.33577811,27.8625,30.83516906
2018-03-10T00:00:00,659188327.99,21.81966148,32.4832,20.59,10派1.2,6.29107132,1.22,2.14206303,000910,大亚圣象,7048258292.1,7.91383281,18.3011,35.54179729
2018-03-10T00:00:00,58881768.4,117.186157,666.5387,7.64,10派0.6,2.67661329,0.2,0.00354705,600378,天科股份,526857527.83,34.55867793,75.6698,29.26062217
2018-03-10T00:00:00,9076621.75,-4.8735114,83.5289,0.48,不分配不转增,2.20767421,0.0105,0.07714202,600207,安彩高科,1983925945.07,6.00916307,28.5646,12.07226331
2018-03-08T00:00:00,9993704.12,0.0396697,"""-""",9.56,10派2.5,2.97171929,0.2788,0.36275176,832753,杰易森,59062716.92,-0.01501642,"""-""",45.38415371
2018-03-08T00:00:00,40656493.03,74.01832944,"""-""",6.28,10派2.05,3.67692322,0.2259,1.04985914,832459,华澳能源,733896105.42,27.30862311,"""-""",17.87180409
2018-03-08T00:00:00,9426881.48,425.89704117,"""-""",7.16,不分配不转增,1.02442847,0.07,-0.10119704,430570,蓝星科技,120122607.25,37.94999644,"""-""",30.61820439
2018-03-08T00:00:00,91517485.28,74.03701087,288.1227,13.79,不分配不转增,2.64504192,0.34,0.23755245,200992,中鲁B,924116785.8,9.24947932,4.2085,17.74697015
2018-03-08T00:00:00,47646591.62,4.16332424,5.1585,10.14,10转7派0.8,4.78829111,0.44,-0.29352748,002877,智能自控,307423199.69,12.35065572,0.9949,40.64916516
2018-02-28T00:00:00,38495897.41,-33.36760653,-30.9425,4.85,10派0.8,4.70972601,0.23,-0.11573925,300414,中光防雷,364319365.29,15.19244358,23.8183,31.12300598
2018-02-28T00:00:00,581775435.32,30.8801245,-10.697,26.81,10派5,7.57538608,1.53,0.99527303,603730,岱美股份,3246972241.83,18.35506683,15.6009,37.05242853
2018-02-28T00:00:00,60340707.79,4.40332594,-101.8271,2.9,10派0.2,4.48134836,0.18,-1.07537697,002740,爱迪尔,1843269597.67,55.63606074,-42.699,8.90812076
2018-02-28T00:00:00,175319960.72,6.23537088,33.5568,7.99,10派0.5,2.7140323,0.2086,0.09032067,002349,精华制药,1120920317.81,27.16240857,51.8449,49.87529646
2018-02-28T00:00:00,1022268509.41,85.37369493,49.8537,35.84,10派6,5.83780822,1.81,1.95564099,002597,金禾实业,4479876386.29,19.30179151,13.0143,33.79456768
2018-02-13T00:00:00,36164215.26,2.30056381,"""-""",60.87,10派15.77,3.33294586,1.68,1.94164727,835205,梵雅文化,63327344.56,-8.17780693,"""-""",79.07898398
2018-02-13T00:00:00,43336327.19,53.43773447,"""-""",24.59,不分配不转增,1.46721968,0.32,-0.09690909,834429,钢宝股份,4077208344.14,180.24183052,"""-""",4.52305005
2018-02-13T00:00:00,26050036.0,396.40003292,"""-""",16.08,不分配不转增,2.91648661,0.43,-0.04282087,830839,万通液压,247003697.24,197.77434945,"""-""",28.06664684
2018-02-13T00:00:00,65451743.78,51.3692137,"""-""",9.69,不分配不转增,8.64285807,0.8,1.95389038,830849,平原智能,746117313.16,15.25662992,"""-""",25.03324575
